CollectionYear,Semester,Region,Year Level,Indigenous status,SDA type,Reason description,SDA count
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Refusal to participate in the program of instruction,5
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Substance Misconduct involving tobacco,2
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,38
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,7
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Long Suspension,Physical Misconduct involving Adults not involving an object,1
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Long Suspension,Verbal or Non Verbal Misconduct involving Adults,1
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,6
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,5
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,10
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,4
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,2
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,2
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,23
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,2
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,7
2021,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,4
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Exclusion,Other Serious conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Exclusion,Physical Misconduct involving Students not involving an object,2
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Long Suspension,Physical Misconduct involving Students not involving an object,1
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Long Suspension,Verbal or Non Verbal Misconduct involving Adults,1
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,14
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,18
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,11
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,5
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,4
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,12
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,70
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Property Misconduct involving other's property,10
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Property Misconduct involving own property,1
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Refusal to participate in the program of instruction,7
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Substance Misconduct involving an illicit substance,1
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Substance Misconduct involving other legal substances,1
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Substance Misconduct involving tobacco,1
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,45
2021,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,10
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Long Suspension,Other Serious conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Long Suspension,Property Misconduct involving other's property,1
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Long Suspension,Substance Misconduct involving other legal substances,1
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,6
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,6
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,9
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,3
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,1
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,10
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,42
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,3
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,7
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Substance Misconduct involving tobacco,2
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,26
2021,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,4
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Exclusion,Other Serious conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Exclusion,Physical Misconduct involving Adults not involving an object,1
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Exclusion,Physical Misconduct involving Students not involving an object,1
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Long Suspension,Other Serious conduct prejudicial to the good order and management of the school,2
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Long Suspension,Persistently disruptive behaviour adversely affecting others,2
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Long Suspension,Physical Misconduct involving Adults not involving an object,1
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Long Suspension,Physical Misconduct involving Students involving an object,1
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Long Suspension,Property Misconduct involving other's property,2
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Long Suspension,Verbal or Non Verbal Misconduct involving Adults,2
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,30
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,19
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,31
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,3
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,11
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,7
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,98
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Property Misconduct involving other's property,12
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Property Misconduct involving own property,1
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Refusal to participate in the program of instruction,21
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Substance Misconduct involving an illicit substance,1
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Substance Misconduct involving other legal substances,4
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,68
2021,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,10
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Long Suspension,Other Serious conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,19
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,8
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,8
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,1
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,1
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,4
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,95
